Player,Name,Position,Age,Height,Weight,FGM,FGA,FG Percentage,Mock Draft,Video
<img src='cunningham.png' height='80'></img>,Cade Cunningham,G,19,6'8,220,1,6,16.70%,1,https://www.youtube.com/embed/PpVhgvEucLQ
<img src='mobley.png' height='80'></img>,Evan Mobley,F,19,7'0,215,1,2,50.00%,2,https://www.youtube.com/embed/SzNWTztTskU
<img src='jgreen.webp' height='80'></img>,Jalen Green,G,19,6'5,190,0,2,0.00%,3,https://www.youtube.com/embed/lWYYRpWGN9M
<img src='suggs.png' height='80'></img>,Jalen Suggs,G,20,6'4,205,0,4,0.00%,4,https://www.youtube.com/embed/UEe0rCZCD9c
<img src='kuminga.webp' height='80'></img>,Jonathan Kuminga,F,18,6'6,210,0,0,0.00%,5,https://www.youtube.com/embed/sD9GEGu0YTI
<img src='barnes.png' height='80'></img>,Scottie Barnes,G,19,6'9,227,2,5,40.00%,6,https://www.youtube.com/embed/fxUWpYhFv_c
<img src='mitchell.png' height='80'></img>,Davion Mitchell,G,22,6'2,205,3,8,37.50%,7,https://www.youtube.com/embed/9U_2YdXRT44
<img src='kjohnson.png' height='80'></img>,Keon Johnson,G,19,6'5,186,0,2,0.00%,8,https://www.youtube.com/embed/ORf3Mrh0USA
<img src='jaljohnson.png' height='80'></img>,Jalen Johnson,F,19,6'9,220,0,0,0.00%,9,https://www.youtube.com/embed/yNyXx8Fwze4
<img src='wagner.png' height='80'></img>,Franz Wagner,G,19,6'9,220,1,12,8.30%,10,https://www.youtube.com/embed/79Uej6Hr7Cw
<img src='jackson1.png' height='80'></img>,Isaiah Jackson,F,19,6'10,206,0,1,0.00%,11,https://www.youtube.com/embed/bI35KjXI_wE
<img src='kispert.png' height='80'></img>,Corey Kispert,F,22,6'7,220,9,12,75.00%,13,https://www.youtube.com/embed/J8A5bcxn-T4
<img src='kjones.png' height='80'></img>,Kai Jones,F,20,6'11,218,4,4,100.00%,16,https://www.youtube.com/embed/VXMsL5EBi_0
<img src='bouknight.png' height='80'></img>,James Bouknight,G,20,6'5,190,1,1,100.00%,17,https://www.youtube.com/embed/6yDn7gDC7pA
<img src='moody.png' height='80'></img>,Moses Moody,G,19,6'6,205,18,33,54.50%,18,https://www.youtube.com/embed/PfrMti64-rk
<img src='butler.png' height='80'></img>,Jared Butler,G,20,6'3,195,6,15,40.00%,19,https://www.youtube.com/embed/eh_1sa2BnII
<img src='mann.png' height='80'></img>,Tre Mann,G,20,6'5,190,2,5,40.00%,20,https://www.youtube.com/embed/M0TCGxEzDO0
<img src='cooper.png' height='80'></img>,Sharife Cooper,G,20,6'1,165,2,3,66.70%,21,https://www.youtube.com/embed/Zqf2b1BlrFU
<img src='dosunmu.png' height='80'></img>,Ayo Dosunmu,G,21,6'5,200,3,10,30.00%,22,https://www.youtube.com/embed/gg_LnSFY5tw
<img src='williams1.png' height='80'></img>,Ziaire Williams,F,19,6'8,185,3,5,60.00%,23,https://www.youtube.com/embed/79IlbAvXWdM
<img src='duarte.png' height='80'></img>,Chris Duarte,G,24,6'6,190,7,10,70.00%,24,https://www.youtube.com/embed/mRpIpffTAos
<img src='thomas1.png' height='80'></img>,Cameron Thomas,G,19,6'5,210,7,15,46.70%,25,https://www.youtube.com/embed/NMw-g8ErPMw
<img src='bassey.png' height='80'></img>,Charles Bassey,C,20,6'11,235,0,2,0.00%,26,https://www.youtube.com/embed/4bmjWTZ_J1U
<img src='springer.png' height='80'></img>,Jaden Springer,G,18,6'4,204,3,6,50.00%,27,https://www.youtube.com/embed/ghvqspiTcQg
<img src='murphy.png' height='80'></img>,Trey Murphy III,G,21,6'9,206,7,19,36.84%,28,https://www.youtube.com/embed/l7Av8UNrz0k
<img src='abmas.png' height='80'></img>,Max Abmas,G,20,6'1,165,8,15,53.33%,29,https://www.youtube.com/embed/1qFUysW1FG4
<img src='sharpe.png' height='80'></img>,Day'ron Sharpe,C,19,6'11,265,0,0,0.00%,30,https://www.youtube.com/embed/JBkNxoam4AA
<img src='bagley.png' height='80'></img>,Marcus Bagley,F,19,6'8,215,7,14,50.00%,32,https://www.youtube.com/embed/ett216dAtAA
<img src='henry.png' height='80'></img>,Aaron Henry,F,21,6'6,210,3,4,75.00%,33,https://www.youtube.com/embed/bXvpER1ZwmE
<img src='boston.png' height='80'></img>,Brandon Boston Jr.,G,19,6'7,185,0,3,0.00%,34,https://www.youtube.com/embed/DwpM1gSAQzk
<img src='mcbride.png' height='80'></img>,Miles McBride,G,20,6'2,200,1,4,25.00%,35,https://www.youtube.com/embed/a976cCMyHxA
<img src='primo.png' height='80'></img>,Joshua Primo,G,18,6'6,190,6,19,31.58%,37,https://www.youtube.com/embed/uiLxqYZ7gKo
<img src='christopher.png' height='80'></img>,Josh Christopher,G,19,6'5,215,1,9,11.10%,39,https://www.youtube.com/embed/bS4iw75iqWA
<img src='grbrown.png' height='80'></img>,Greg Brown,F,19,6'9,185,6,17,35.30%,40,https://www.youtube.com/embed/CfB6srYlkdY
<img src='shannon.png' height='80'></img>,Terrence Shannon Jr.,G,20,6'1,210,3,6,50.00%,41,https://www.youtube.com/embed/3s_rNshEOns
<img src='reaves.png' height='80'></img>,Austin Reaves,G,23,6'5,206,1,2,50.00%,43,https://www.youtube.com/embed/e99SJ0duR4k
<img src='hurt.png' height='80'></img>,Matthew Hurt,F,21,6'9,235,5,9,55.60%,45,https://www.youtube.com/embed/cU5i3aMLUXQ
<img src='edwards.png' height='80'></img>,Kessler Edwards,F,21,6'8,200,2,3,66.70%,46,https://www.youtube.com/embed/OGJDVLY6ng4
<img src='jones.png' height='80'></img>,Herbert Jones,F,22,6'8,210,0,4,0.00%,47,https://www.youtube.com/embed/K29kJP2VvdQ
