Image,Name,Team Abbreviation,Position,Height,Weight,Age,FGM,FGA,FG Percentage,Video
<img src='taylor.webp' height='80'></img>,Ryan Taylor,SCW,G,6'6,190,26,9,17,52.90%,https://www.youtube.com/embed/V0f9FFNd1QE
<img src='wright-foreman.webp' height='80'></img>,Justin Wright-Foreman,ERI,G,6'0,190,23,8,13,61.50%,https://www.youtube.com/embed/buYqBKtc3PY
<img src='miller.webp' height='80'></img>,Malcolm Miller,SLC,G-F,6'7,210,28,8,18,44.40%,https://www.youtube.com/embed/IxPXZ-l9psI
<img src='brooks.webp' height='80'></img>,Armoni Brooks,RGV,G,6'3,195,23,7,16,43.80%,https://www.youtube.com/embed/0zL80Omc8uM
<img src='washburn.png' height='80'></img>,Julian Washburn,DEL,F-G,6'8,210,29,7,17,41.20%,https://www.youtube.com/embed/EOYWVcpu6G0
<img src='hall.webp' height='80'></img>,Tyler Hall,WES,G,6'5,209,24,7,15,46.70%,https://www.youtube.com/embed/wslNTPVv_v4
<img src='mathis.webp' height='80'></img>,Anthony Mathis,AUS,G,6'4,175,24,6,10,60.00%,https://www.youtube.com/embed/C4WAp4QoPnU
<img src='toupane.webp' height='80'></img>,Alex Toupane,SCW,G-F,6'7,210,28,6,15,40.00%,https://www.youtube.com/embed/ObkRvtPesWA
<img src='thomas.webp' height='80'></img>,Brodric Thomas,CTN,G,6'5,185,24,6,8,75.00%,https://www.youtube.com/embed/zGS5ejdQX-w
<img src='tucker.webp' height='80'></img>,Dakarai Tucker,IWA,G,6'5,195,27,6,16,37.50%,https://www.youtube.com/embed/BBmciSIN630
<img src='marshall.webp' height='80'></img>,Naji Marshall,ERI,F,6'7,220,23,6,9,66.70%,https://www.youtube.com/embed/2Whv6VIHScQ
<img src='stauskas.webp' height='80'></img>,Nik Stauskas,RAP,G,6'6,207,27,6,18,33.30%,https://www.youtube.com/embed/cwr3UNiuifI
<img src='milesjr.webp' height='80'></img>,Daxter Miles Jr.,FWN,G,6'3,200,26,5,10,50.00%,https://www.youtube.com/embed/23tH5ZWrBTM
<img src='hannahs.webp' height='80'></img>,Dusty Hannahs,SCW,G,6'3,210,27,5,8,62.50%,https://www.youtube.com/embed/L_CF1LhmcRU
<img src='brazdeikis.webp' height='80'></img>,Ignas Brazdeikis,WES,F,6'6,221,22,5,9,55.60%,https://www.youtube.com/embed/L0jsoinjgzw
<img src='brownridge.webp' height='80'></img>,Jared Brownridge,DEL,G,6'3,200,26,5,10,50.00%,https://www.youtube.com/embed/CEX_Oi0fCaA
<img src='jack.webp' height='80'></img>,Jarrett Jack,GLI,G,6'3,197,37,5,9,55.60%,https://www.youtube.com/embed/piVJ4_dMy3s
<img src='bowden.webp' height='80'></img>,Jordan Bowden,LIN,G,6'5,193,24,5,15,33.30%,https://www.youtube.com/embed/X1uOQVQ1nQ4
<img src='simmons.webp' height='80'></img>,Kobi Simmons,GBO,G,6'5,180,23,5,12,41.70%,https://www.youtube.com/embed/766VDzQrXqE
<img src='fitts.webp' height='80'></img>,Malik Fitts ,ACC,F,6'8,230,23,5,7,71.40%,https://www.youtube.com/embed/i_80Lu0X-Ko
<img src='garrett.webp' height='80'></img>,Billy Garrett,LAK,G,6'6,210,26,4,6,66.70%,https://www.youtube.com/embed/u2oWXX9CvOk
<img src='brownjr.webp' height='80'></img>,Charlie Brown Jr.,IWA,G,6'6,199,24,4,11,36.40%,https://www.youtube.com/embed/m1gM5BBxSP4
<img src='stockton.webp' height='80'></img>,David Stockton,MHU,G,5'11,165,29,4,5,80.00%,https://www.youtube.com/embed/E-IwyVCTtNc
<img src='pemberton.webp' height='80'></img>,Elijah Pemberton,SCW,G,6'5,195,24,4,6,66.70%,https://www.youtube.com/embed/_U5g5ybVfz8
<img src='harris.webp' height='80'></img>,Jalen Harris,RAP,G,6'5,195,22,4,5,80.00%,https://www.youtube.com/embed/C87W4AZLpWo
<img src='uthoff.webp' height='80'></img>,Jarrod Uthoff,ERI,F,6'9,220,28,4,15,26.70%,https://www.youtube.com/embed/yGvDq-48cxU
<img src='kthomas.webp' height='80'></img>,Khyri Thomas,AUS,G,6'3,210,25,4,6,66.70%,https://www.youtube.com/embed/6Jw8ImXmlOI
