,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,ATB_FGM,ATB_FGA,ATB_FG%,win,ortg,pt_diff
0,29,38,0.763157895,6,16,0.375,7,16,0.4375,2,4,0.5,2,2,1.0,3,14,0.214285714,1,121.4,29
1,10,21,0.476190476,2,4,0.5,1,4,0.25,0,6,0.0,4,7,0.571428571,14,50,0.28,0,93.0,-29
2,19,31,0.612903226,6,15,0.4,6,7,0.857142857,4,4,1.0,0,1,0.0,12,25,0.48,1,125.1,14
3,19,26,0.730769231,5,15,0.333333333,2,5,0.4,0,2,0.0,0,3,0.0,12,34,0.352941176,0,110.9,-14
4,24,32,0.75,3,10,0.3,4,13,0.307692308,2,4,0.5,0,0,,12,28,0.428571429,1,116.1,6
5,17,32,0.53125,4,12,0.333333333,5,9,0.555555556,0,2,0.0,1,3,0.333333333,11,32,0.34375,0,110.2,-6
6,23,35,0.657142857,2,7,0.285714286,4,9,0.444444444,1,3,0.333333333,0,3,0.0,10,29,0.344827586,0,108.8,-13
7,28,38,0.736842105,4,9,0.444444444,2,3,0.666666667,2,7,0.285714286,1,3,0.333333333,10,24,0.416666667,1,122.0,13
8,16,23,0.695652174,5,8,0.625,5,13,0.384615385,1,1,1.0,2,2,1.0,12,35,0.342857143,1,117.4,12
9,13,24,0.541666667,15,33,0.454545455,6,10,0.6,0,1,0.0,1,1,1.0,5,23,0.217391304,0,105.0,-12
10,18,27,0.666666667,1,8,0.125,9,18,0.5,1,5,0.2,1,5,0.2,14,28,0.5,0,123.0,-15
11,26,36,0.722222222,5,9,0.555555556,1,5,0.2,4,6,0.666666667,2,6,0.333333333,11,28,0.392857143,1,138.3,15
12,27,41,0.658536585,4,10,0.4,3,10,0.3,2,4,0.5,0,4,0.0,9,27,0.333333333,1,109.6,12
13,22,34,0.647058824,5,14,0.357142857,1,5,0.2,1,4,0.25,0,3,0.0,8,18,0.444444444,0,97.6,-12
14,18,31,0.580645161,2,6,0.333333333,4,8,0.5,1,5,0.2,0,6,0.0,10,30,0.333333333,0,99.3,-4
15,11,18,0.611111111,2,13,0.153846154,8,21,0.380952381,1,4,0.25,2,4,0.5,10,19,0.526315789,1,103.7,4
16,15,28,0.535714286,7,16,0.4375,13,19,0.684210526,3,4,0.75,0,2,0.0,7,37,0.189189189,0,114.3,-5
17,24,31,0.774193548,14,23,0.608695652,4,14,0.285714286,0,1,0.0,0,0,,8,25,0.32,1,119.4,5
18,15,25,0.6,9,15,0.6,2,8,0.25,2,4,0.5,0,2,0.0,8,22,0.363636364,0,115.1,-11
19,21,33,0.636363636,3,12,0.25,3,9,0.333333333,1,3,0.333333333,3,6,0.5,15,31,0.483870968,1,125.9,11
20,19,28,0.678571429,3,15,0.2,8,18,0.444444444,0,3,0.0,2,4,0.5,12,29,0.413793103,0,118.5,-16
21,20,24,0.833333333,3,6,0.5,5,14,0.357142857,3,4,0.75,4,6,0.666666667,11,33,0.333333333,1,134.8,16
22,21,28,0.75,9,23,0.391304348,3,9,0.333333333,1,3,0.333333333,1,3,0.333333333,7,23,0.304347826,0,97.9,-22
23,13,22,0.590909091,8,15,0.533333333,2,10,0.2,4,6,0.666666667,3,5,0.6,11,27,0.407407407,1,119.6,22
24,17,30,0.566666667,11,17,0.647058824,12,22,0.545454545,1,3,0.333333333,3,4,0.75,9,28,0.321428571,1,119.7,2
25,27,35,0.771428571,5,15,0.333333333,11,24,0.458333333,1,3,0.333333333,2,3,0.666666667,4,18,0.222222222,0,117.7,-2
26,14,21,0.666666667,16,33,0.484848485,3,4,0.75,4,6,0.666666667,3,7,0.428571429,8,24,0.333333333,1,121.9,12
27,16,23,0.695652174,9,30,0.3,2,6,0.333333333,1,5,0.2,0,1,0.0,11,32,0.34375,0,110.2,-12
28,14,16,0.875,7,26,0.269230769,2,7,0.285714286,4,8,0.5,2,4,0.5,8,32,0.25,0,107.6,-5
29,17,21,0.80952381,8,22,0.363636364,9,17,0.529411765,0,4,0.0,0,3,0.0,10,24,0.416666667,1,112.5,5
30,13,23,0.565217391,12,23,0.52173913,2,7,0.285714286,2,3,0.666666667,2,4,0.5,10,27,0.37037037,1,113.2,14
31,11,26,0.423076923,8,20,0.4,4,11,0.363636364,0,2,0.0,1,1,1.0,10,38,0.263157895,0,98.1,-14
32,17,26,0.653846154,13,20,0.65,7,10,0.7,1,4,0.25,1,5,0.2,7,24,0.291666667,0,114.4,-7
33,23,37,0.621621622,2,7,0.285714286,5,13,0.384615385,0,2,0.0,1,6,0.166666667,10,21,0.476190476,1,121.4,7
34,13,21,0.619047619,4,14,0.285714286,1,12,0.083333333,2,6,0.333333333,3,5,0.6,17,38,0.447368421,0,107.9,-14
35,13,17,0.764705882,12,21,0.571428571,8,13,0.615384615,0,4,0.0,0,2,0.0,13,29,0.448275862,1,121.9,14
36,23,33,0.696969697,2,10,0.2,3,10,0.3,1,6,0.166666667,3,3,1.0,14,33,0.424242424,1,122.0,16
37,27,35,0.771428571,7,20,0.35,0,3,0.0,3,8,0.375,0,1,0.0,2,28,0.071428571,0,106.3,-16
38,19,39,0.487179487,5,8,0.625,2,6,0.333333333,2,7,0.285714286,1,5,0.2,10,36,0.277777778,0,110.3,-9
39,12,20,0.6,6,9,0.666666667,11,22,0.5,3,7,0.428571429,5,5,1.0,8,25,0.32,1,119.4,9
40,20,26,0.769230769,9,18,0.5,8,17,0.470588235,2,5,0.4,0,2,0.0,13,26,0.5,1,132.8,37
41,18,24,0.75,6,11,0.545454545,11,27,0.407407407,0,1,0.0,0,1,0.0,4,23,0.173913043,0,97.7,-37
42,14,21,0.666666667,4,13,0.307692308,4,14,0.285714286,6,7,0.857142857,4,5,0.8,7,30,0.233333333,1,118.6,4
43,18,24,0.75,9,17,0.529411765,2,6,0.333333333,0,1,0.0,2,3,0.666666667,11,33,0.333333333,0,114.5,-4
44,23,33,0.696969697,6,15,0.4,4,6,0.666666667,1,3,0.333333333,3,5,0.6,5,24,0.208333333,1,113.1,13
45,24,35,0.685714286,3,9,0.333333333,1,2,0.5,2,7,0.285714286,0,4,0.0,4,26,0.153846154,0,99.0,-13
46,14,23,0.608695652,7,13,0.538461538,4,12,0.333333333,2,4,0.5,1,2,0.5,14,33,0.424242424,1,120.5,3
47,22,34,0.647058824,12,31,0.387096774,1,7,0.142857143,4,5,0.8,0,3,0.0,7,19,0.368421053,0,117.7,-3
48,28,35,0.8,1,8,0.125,3,6,0.5,1,1,1.0,0,3,0.0,13,33,0.393939394,1,120.0,7
49,19,28,0.678571429,9,13,0.692307692,6,17,0.352941176,2,5,0.4,3,3,1.0,6,27,0.222222222,0,113.1,-7
50,16,19,0.842105263,10,26,0.384615385,0,6,0.0,1,6,0.166666667,0,1,0.0,10,26,0.384615385,1,105.6,1
51,21,32,0.65625,5,18,0.277777778,1,4,0.25,2,2,1.0,1,5,0.2,7,34,0.205882353,0,104.7,-1
52,14,28,0.5,9,23,0.391304348,7,14,0.5,0,1,0.0,3,4,0.75,3,14,0.214285714,0,98.9,-16
53,13,24,0.541666667,10,23,0.434782609,4,7,0.571428571,2,6,0.333333333,3,5,0.6,8,28,0.285714286,1,115.9,16
54,14,27,0.518518519,7,20,0.35,2,6,0.333333333,0,2,0.0,2,6,0.333333333,8,22,0.363636364,0,100.9,-25
