Player,Name,Position,Age,Height,Weight,Current Team,FGM,FGA,FG%,Type,Salary,,Video
<img src='dgreen.png' height='80'></img>,Danny Green,G,33,"6'6""",215,PHI,55,124,44.40%,Unrestricted,"$15,000,000 ",,https://www.youtube.com/embed/zCifqh7Dgg8
<img src='robinson.png' height='80'></img>,Duncan Robinson,F,27,"6'7""",215,MIA,30,75,40.00%,Restricted,"$1,030,062 ",,https://www.youtube.com/embed/7KQwd0m312Q
<img src='powell.png' height='80'></img>,Norman Powell,G,28,"6'3""",215,POR,30,59,50.80%,Player Option,"$10,491,264 ",,https://www.youtube.com/embed/ad6J4ZnD6sM
<img src='green.png' height='80'></img>,Jeff Green,F,34,"6'8""",235,BKN,26,67,38.80%,Unrestricted,"$2,564,753 ",,https://www.youtube.com/embed/T_W09NzXLwA
<img src='bullock.png' height='80'></img>,Reggie Bullock,G-F,30,"6'7""",205,NYK,25,54,46.30%,Unrestricted,"$4,100,000 ",,https://www.youtube.com/embed/ZtT9NE_Hwwo
<img src='hardaway.png' height='80'></img>,Tim Hardaway Jr.,G-F,29,"6'5""",205,DAL,24,62,38.70%,Unrestricted,"$17,737,500 ",,https://www.youtube.com/embed/Lg1fd0CBRwY
<img src='batum.png' height='80'></img>,Nicolas Batum,G-F,32,"6'8""",230,LAC,24,54,44.40%,Unrestricted,"$2,564,753 ",,https://www.youtube.com/embed/4oZHgtemVT4
<img src='oubrejr.png' height='80'></img>,Kelly Oubre Jr.,G-F,25,"6'7""",203,GSW,23,63,36.50%,Unrestricted,"$15,000,000 ",,https://www.youtube.com/embed/0Kgw0FFm03E
<img src='conley.png' height='80'></img>,Mike Conley,G,33,"6'1""",175,UTA,21,55,38.20%,Unrestricted,"$30,521,116 ",,https://www.youtube.com/embed/Y8QRcYPtWlU
<img src='korkmaz.png' height='80'></img>,Furkan Korkmaz,G-F,23,"6'7""",202,PHI,21,39,53.80%,Unrestricted,"$1,762,796 ",,https://www.youtube.com/embed/KDdeDP-lXKw
<img src='niang.png' height='80'></img>,Georges Niang,F,28,"6'7""",230,UTA,19,51,37.30%,Unrestricted,"$1,658,337 ",,https://www.youtube.com/embed/Z7A5upPkeFo
<img src='burks.png' height='80'></img>,Alec Burks,G,29,"6'6""",214,NYK,18,28,64.30%,Unrestricted,"$6,000,000 ",,https://www.youtube.com/embed/366wpEyPdoY
<img src='jackson.png' height='80'></img>,Frank Jackson,G,23,"6'3""",205,DET,18,25,72.00%,Restricted,"$1,889,178 ",,https://www.youtube.com/embed/FtHWjB1FM1A
<img src='portis.png' height='80'></img>,Bobby Portis,F,26,"6'10""",250,MIL,17,39,43.60%,Player Option,"$3,713,575 ",,https://www.youtube.com/embed/tH7NwvrIQjw
<img src='bazemore.png' height='80'></img>,Kent Bazemore,G-F,31,"6'4""",195,GSW,16,45,35.60%,Unrestricted,"$2,320,044 ",,https://www.youtube.com/embed/xVAprZc_YOc
<img src='temple.png' height='80'></img>,Garrett Temple,G-F,35,"6'5""",195,CHI,16,44,36.40%,Unrestricted,"$4,767,000 ",,https://www.youtube.com/embed/d6PSqKqbfEw
<img src='ball.png' height='80'></img>,Lonzo Ball,G,23,"6'6""",190,NOP,15,39,38.50%,Restricted,"$8,367,906 ",,https://www.youtube.com/embed/xXiAZganI2U
<img src='mclemore.png' height='80'></img>,Ben McLemore,G,28,"6'3""",195,LAL,15,30,50.00%,Unrestricted,"$610,596 ",,https://www.youtube.com/embed/L6dsC2fOZQc
<img src='anthony.png' height='80'></img>,Carmelo Anthony,F,37,"6'7""",238,POR,15,36,41.70%,Unrestricted,"$2,564,753 ",,https://www.youtube.com/embed/NFWEGyxT-wM
<img src='trent.png' height='80'></img>,Gary Trent Jr.,G-F,22,"6'5""",209,TOR,15,38,39.50%,Unrestricted,"$1,306,392 ",,https://www.youtube.com/embed/884VVxnfGno
<img src='jonesjr.png' height='80'></img>,Derrick Jones Jr.,F,24,"6'5""",210,POR,14,49,28.60%,Player Option,"$9,489,450 ",,https://www.youtube.com/embed/52vysfq42IA
<img src='forbes.png' height='80'></img>,Bryn Forbes,G,27,"6'2""",205,MIL,14,35,40.00%,Player,"$2,395,574 ",,https://www.youtube.com/embed/YxyF-O69a5E
<img src='markkanen.png' height='80'></img>,Lauri Markkanen,F-C,24,"7'0""",240,CHI,14,28,50.00%,Restricted,"$5,097,417 ",,https://www.youtube.com/embed/GG3xtl8IpDU
